Rotacion;Intron;Ref_mapeo;Ref_anotacion;Pos_mapeo;Pos_anotacion;CIGAR;Hit
rotation46;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;23S25M;yes
rotation46;>CR31986;NT_033779.5;NT_033779.5;2459984;2460007;24M24S;yes
rotation47;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;22S26M;yes
rotation11;>CR31435;NT_033777.3;NT_033777.3;8669117;8669137;1S20M;yes
rotation12;>CR31435;NT_033777.3;NT_033777.3;8669117;8669137;21M;yes
rotation18;>CR31435;NT_033777.3;NT_033777.3;6033708;8669137;21M;no
rotation7;>CR31433;NT_033777.3;NT_033777.3;8668648;8668668;21M;yes
rotation11;>CR31433;NT_037436.4;NT_033777.3;19585956;8668668;21M;no
rotation15;>CR31433;NC_004354.4;NT_033777.3;13130205;8668668;21M;no
rotation16;>CR31433;NC_004354.4;NT_033777.3;13130206;8668668;21M;no
rotation15;>CR31434;NT_033777.3;NT_033777.3;8668152;8668171;20M;yes
rotation5;>CR31552;NT_033779.5;NT_033777.3;1580764;8642756;20M;no
rotation6;>CR31552;NT_033779.5;NT_033777.3;1580765;8642756;20M;no
rotation13;>CR31552;NT_033777.3;NT_033777.3;8642737;8642756;20M;yes
rotation13;>CR31552;NT_033777.3;NT_033777.3;8668152;8642756;20M;yes
rotation13;>CR31552;NT_033777.3;NT_033777.3;8642369;8642756;20M;yes
rotation17;>CR31552;NT_033777.3;NT_033777.3;31094870;8642756;20M;no
rotation1;>CR31387;NT_033777.3;NT_033777.3;26548382;8642388;20M;no
rotation4;>CR31387;NT_033777.3;NT_033777.3;8642369;8642388;20M;yes
rotation17;>CR31387;NT_033778.4;NT_033777.3;25187308;8642388;20M;no
rotation18;>CR32520;NC_004354.4;NC_004354.4;21304476;21304498;22M;yes
rotation19;>CR32520;NC_004354.4;NC_004354.4;21304477;21304498;22M;yes
rotation20;>CR32520;NC_004354.4;NC_004354.4;21304478;21304498;22M;yes
rotation21;>CR32520;NC_004354.4;NC_004354.4;21304479;21304498;22M;yes
rotation1;>CR32525;NC_004354.4;NC_004354.4;21304766;21304750;20M15S;yes
rotation2;>CR32525;NC_004354.4;NC_004354.4;21304765;21304750;21M14S;yes
rotation3;>CR32525;NC_004354.4;NC_004354.4;21304764;21304750;22M13S;yes
rotation4;>CR32525;NC_004354.4;NC_004354.4;21304763;21304750;23M12S;yes
rotation5;>CR32525;NC_004354.4;NC_004354.4;21304762;21304750;24M11S;yes
rotation6;>CR32525;NC_004354.4;NC_004354.4;21304761;21304750;25M10S;yes
rotation7;>CR32525;NC_004354.4;NC_004354.4;21304761;21304750;1S25M9S;yes
rotation8;>CR32525;NC_004354.4;NC_004354.4;21304761;21304750;2S25M8S;yes
rotation9;>CR32525;NC_004354.4;NC_004354.4;21304761;21304750;3S25M7S;yes
rotation10;>CR32525;NC_004354.4;NC_004354.4;21304757;21304750;29M6S;yes
rotation11;>CR32525;NC_004354.4;NC_004354.4;21304756;21304750;30M5S;yes
rotation12;>CR32525;NC_004354.4;NC_004354.4;21304755;21304750;31M4S;yes
rotation13;>CR32525;NC_004354.4;NC_004354.4;21304754;21304750;32M3S;yes
rotation14;>CR32525;NC_004354.4;NC_004354.4;21304753;21304750;33M2S;yes
rotation15;>CR32525;NC_004354.4;NC_004354.4;21304752;21304750;34M1S;yes
rotation16;>CR32525;NC_004354.4;NC_004354.4;21304751;21304750;35M;yes
rotation17;>CR32525;NC_004354.4;NC_004354.4;21304750;21304750;35M;yes
rotation18;>CR32525;NC_004354.4;NC_004354.4;21304749;21304750;35M;yes
rotation19;>CR32525;NC_004354.4;NC_004354.4;21304748;21304750;35M;yes
rotation20;>CR32525;NC_004354.4;NC_004354.4;21304748;21304750;1S34M;yes
rotation21;>CR32525;NC_004354.4;NC_004354.4;21304748;21304750;2S33M;yes
rotation7;>CR32480;NT_037436.4;NT_037436.4;769543;769541;24M;yes
rotation8;>CR32480;NT_037436.4;NT_037436.4;769542;769541;24M;yes
rotation9;>CR32480;NT_037436.4;NT_037436.4;769541;769541;24M;yes
rotation0;>CR32481;NT_037436.4;NT_037436.4;770409;770401;20M6S;yes
rotation1;>CR32481;NT_037436.4;NT_037436.4;770408;770401;21M5S;yes
rotation2;>CR32481;NT_037436.4;NT_037436.4;770407;770401;22M4S;yes
rotation3;>CR32481;NT_037436.4;NT_037436.4;770406;770401;23M3S;yes
rotation4;>CR32481;NT_037436.4;NT_037436.4;770405;770401;24M2S;yes
rotation5;>CR32481;NT_037436.4;NT_037436.4;770404;770401;25M1S;yes
rotation6;>CR32481;NT_037436.4;NT_037436.4;770403;770401;26M;yes
rotation7;>CR32481;NT_037436.4;NT_037436.4;770402;770401;26M;yes
rotation8;>CR32481;NT_037436.4;NT_037436.4;770401;770401;26M;yes
rotation9;>CR32481;NT_037436.4;NT_037436.4;770401;770401;1S25M;yes
rotation10;>CR32481;NT_037436.4;NT_037436.4;770401;770401;2S24M;yes
rotation11;>CR32481;NT_037436.4;NT_037436.4;770401;770401;3S23M;yes
rotation12;>CR32481;NT_037436.4;NT_037436.4;770401;770401;4S22M;yes
rotation0;>CR31143;NT_033777.3;NT_033777.3;23601383;23601417;36M4S;yes
rotation1;>CR31143;NT_033777.3;NT_033777.3;23601387;23601417;3S32M5S;yes
rotation2;>CR31143;NT_033777.3;NT_033777.3;23601387;23601417;2S32M6S;yes
rotation3;>CR31143;NT_033777.3;NT_033777.3;23601387;23601417;1S32M7S;yes
rotation4;>CR31143;NT_033777.3;NT_033777.3;23601387;23601417;32M8S;yes
rotation5;>CR31143;NT_033777.3;NT_033777.3;23601388;23601417;31M9S;yes
rotation6;>CR31143;NT_033777.3;NT_033777.3;23601389;23601417;30M10S;yes
rotation7;>CR31143;NT_033777.3;NT_033777.3;23601390;23601417;29M11S;yes
rotation8;>CR31143;NT_033777.3;NT_033777.3;23601391;23601417;28M12S;yes
rotation9;>CR31143;NT_033777.3;NT_033777.3;23601392;23601417;27M13S;yes
rotation10;>CR31143;NT_033777.3;NT_033777.3;23601393;23601417;26M14S;yes
rotation11;>CR31143;NT_033777.3;NT_033777.3;23601394;23601417;25M15S;yes
rotation12;>CR31143;NT_033777.3;NT_033777.3;23601395;23601417;24M16S;yes
rotation13;>CR31143;NT_033777.3;NT_033777.3;23601396;23601417;23M17S;yes
rotation14;>CR31143;NT_033777.3;NT_033777.3;23601397;23601417;22M18S;yes
rotation15;>CR31143;NT_033777.3;NT_033777.3;23601398;23601417;21M19S;yes
rotation16;>CR31143;NT_033777.3;NT_033777.3;23601399;23601417;20M20S;yes
rotation24;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;11S29M;yes
rotation25;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;10S30M;yes
rotation26;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;9S31M;yes
rotation27;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;8S32M;yes
rotation28;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;7S33M;yes
rotation29;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;6S34M;yes
rotation30;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;5S35M;yes
rotation31;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;4S36M;yes
rotation32;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;3S37M;yes
rotation33;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;2S38M;yes
rotation34;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;1S39M;yes
rotation35;>CR31143;NT_033777.3;NT_033777.3;23601378;23601417;40M;yes
rotation36;>CR31143;NT_033777.3;NT_033777.3;23601379;23601417;40M;yes
rotation37;>CR31143;NT_033777.3;NT_033777.3;23601380;23601417;39M1S;yes
rotation38;>CR31143;NT_033777.3;NT_033777.3;23601381;23601417;38M2S;yes
rotation39;>CR31143;NT_033777.3;NT_033777.3;23601382;23601417;37M3S;yes
rotation0;>CR32841;NT_033778.4;NT_033778.4;13430753;13430777;26M12S;yes
rotation1;>CR32841;NT_033778.4;NT_033778.4;13430754;13430777;25M13S;yes
rotation2;>CR32841;NT_033778.4;NT_033778.4;13430755;13430777;24M14S;yes
rotation3;>CR32841;NT_033778.4;NT_033778.4;13430756;13430777;23M15S;yes
rotation7;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;18S20M;yes
rotation8;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;17S21M;yes
rotation9;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;16S22M;yes
rotation10;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;15S23M;yes
rotation11;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;14S24M;yes
rotation12;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;13S25M;yes
rotation13;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;12S26M;yes
rotation14;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;11S27M;yes
rotation15;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;10S28M;yes
rotation16;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;9S29M;yes
rotation17;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;8S30M;yes
rotation17;>CR32841;NT_033778.4;NT_033778.4;13432714;13430777;20M18S;yes
rotation18;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;7S31M;yes
rotation18;>CR32841;NT_033778.4;NT_033778.4;13432713;13430777;21M17S;yes
rotation19;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;6S32M;yes
rotation19;>CR32841;NT_033778.4;NT_033778.4;13432712;13430777;22M16S;yes
rotation20;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;5S33M;yes
rotation20;>CR32841;NT_033778.4;NT_033778.4;13432711;13430777;23M15S;yes
rotation21;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;4S34M;yes
rotation21;>CR32841;NT_033778.4;NT_033778.4;13432710;13430777;24M14S;yes
rotation22;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;3S35M;yes
rotation22;>CR32841;NT_033778.4;NT_033778.4;13432710;13430777;1S24M13S;yes
rotation23;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;2S36M;yes
rotation23;>CR32841;NT_033778.4;NT_033778.4;13432710;13430777;2S24M12S;yes
rotation24;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;1S37M;yes
rotation24;>CR32841;NT_033778.4;NT_033778.4;13432710;13430777;3S24M11S;yes
rotation25;>CR32841;NT_033778.4;NT_033778.4;13430740;13430777;38M;yes
rotation25;>CR32841;NT_033778.4;NT_033778.4;13432706;13430777;28M10S;yes
rotation26;>CR32841;NT_033778.4;NT_033778.4;13430741;13430777;38M;yes
rotation26;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;29M9S;yes
rotation27;>CR32841;NT_033778.4;NT_033778.4;13430742;13430777;37M1S;yes
rotation27;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;1S29M8S;yes
rotation28;>CR32841;NT_033778.4;NT_033778.4;13430743;13430777;36M2S;yes
rotation28;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;2S29M7S;yes
rotation29;>CR32841;NT_033778.4;NT_033778.4;13430744;13430777;35M3S;yes
rotation29;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;3S29M6S;yes
rotation30;>CR32841;NT_033778.4;NT_033778.4;13430745;13430777;34M4S;yes
rotation30;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;4S29M5S;yes
rotation31;>CR32841;NT_033778.4;NT_033778.4;13430746;13430777;33M5S;yes
rotation31;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;5S29M4S;yes
rotation32;>CR32841;NT_033778.4;NT_033778.4;13430747;13430777;32M6S;yes
rotation32;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;6S29M3S;yes
rotation33;>CR32841;NT_033778.4;NT_033778.4;13430748;13430777;31M7S;yes
rotation33;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;7S29M2S;yes
rotation34;>CR32841;NT_033778.4;NT_033778.4;13430749;13430777;30M8S;yes
rotation34;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;8S29M1S;yes
rotation35;>CR32841;NT_033778.4;NT_033778.4;13430750;13430777;29M9S;yes
rotation35;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;9S29M;yes
rotation36;>CR32841;NT_033778.4;NT_033778.4;13430751;13430777;28M10S;yes
rotation36;>CR32841;NT_033778.4;NT_033778.4;13432705;13430777;10S28M;yes
rotation37;>CR32841;NT_033778.4;NT_033778.4;13430752;13430777;27M11S;yes
rotation0;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;8S36M;yes
rotation0;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;7S29M8S;yes
rotation1;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;9S35M;yes
rotation1;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;6S29M9S;yes
rotation2;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;10S34M;yes
rotation2;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;5S29M10S;yes
rotation3;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;11S33M;yes
rotation3;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;4S29M11S;yes
rotation4;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;12S32M;yes
rotation4;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;3S29M12S;yes
rotation5;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;13S31M;yes
rotation5;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;2S29M13S;yes
rotation6;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;14S30M;yes
rotation6;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;1S29M14S;yes
rotation7;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;15S29M;yes
rotation7;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;29M15S;yes
rotation8;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;16S28M;yes
rotation9;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;17S27M;yes
rotation10;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;18S26M;yes
rotation11;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;19S25M;yes
rotation11;>CR30508;NT_033778.4;NT_033778.4;13432730;13432706;20M24S;yes
rotation12;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;20S24M;yes
rotation12;>CR30508;NT_033778.4;NT_033778.4;13432729;13432706;21M23S;yes
rotation13;>CR30508;NT_033778.4;NT_033778.4;13432728;13432706;22M22S;yes
rotation14;>CR30508;NT_033778.4;NT_033778.4;13432727;13432706;23M21S;yes
rotation15;>CR30508;NT_033778.4;NT_033778.4;13432726;13432706;24M20S;yes
rotation16;>CR30508;NT_033778.4;NT_033778.4;13432725;13432706;25M19S;yes
rotation17;>CR30508;NT_033778.4;NT_033778.4;13432724;13432706;26M18S;yes
rotation18;>CR30508;NT_033778.4;NT_033778.4;13432723;13432706;27M17S;yes
rotation19;>CR30508;NT_033778.4;NT_033778.4;13432722;13432706;28M16S;yes
rotation20;>CR30508;NT_033778.4;NT_033778.4;13432721;13432706;29M15S;yes
rotation21;>CR30508;NT_033778.4;NT_033778.4;13432720;13432706;30M14S;yes
rotation22;>CR30508;NT_033778.4;NT_033778.4;13432719;13432706;31M13S;yes
rotation23;>CR30508;NT_033778.4;NT_033778.4;13432718;13432706;32M12S;yes
rotation24;>CR30508;NT_033778.4;NT_033778.4;13432717;13432706;33M11S;yes
rotation25;>CR30508;NT_033778.4;NT_033778.4;13432716;13432706;34M10S;yes
rotation26;>CR30508;NT_033778.4;NT_033778.4;13432715;13432706;35M9S;yes
rotation27;>CR30508;NT_033778.4;NT_033778.4;13432714;13432706;36M8S;yes
rotation27;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;24S20M;yes
rotation28;>CR30508;NT_033778.4;NT_033778.4;13432713;13432706;37M7S;yes
rotation28;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;23S21M;yes
rotation29;>CR30508;NT_033778.4;NT_033778.4;13432712;13432706;38M6S;yes
rotation29;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;22S22M;yes
rotation30;>CR30508;NT_033778.4;NT_033778.4;13432711;13432706;39M5S;yes
rotation30;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;21S23M;yes
rotation31;>CR30508;NT_033778.4;NT_033778.4;13432710;13432706;40M4S;yes
rotation31;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;20S24M;yes
rotation32;>CR30508;NT_033778.4;NT_033778.4;13432709;13432706;41M3S;yes
rotation32;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;19S24M1S;yes
rotation33;>CR30508;NT_033778.4;NT_033778.4;13432708;13432706;42M2S;yes
rotation33;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;18S24M2S;yes
rotation34;>CR30508;NT_033778.4;NT_033778.4;13432707;13432706;43M1S;yes
rotation34;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;17S24M3S;yes
rotation35;>CR30508;NT_033778.4;NT_033778.4;13432706;13432706;44M;yes
rotation35;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;16S28M;yes
rotation36;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;44M;yes
rotation36;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;15S29M;yes
rotation37;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;1S43M;yes
rotation37;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;14S29M1S;yes
rotation38;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;2S42M;yes
rotation38;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;13S29M2S;yes
rotation39;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;3S41M;yes
rotation39;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;12S29M3S;yes
rotation40;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;4S40M;yes
rotation40;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;11S29M4S;yes
rotation41;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;5S39M;yes
rotation41;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;10S29M5S;yes
rotation42;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;6S38M;yes
rotation42;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;9S29M6S;yes
rotation43;>CR30508;NT_033778.4;NT_033778.4;13432705;13432706;7S37M;yes
rotation43;>CR30508;NT_033778.4;NT_033778.4;13430750;13432706;8S29M7S;yes
rotation0;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;7S35M;yes
rotation1;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;8S34M;yes
rotation2;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;9S33M;yes
rotation3;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;10S32M;yes
rotation4;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;11S31M;yes
rotation5;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;12S30M;yes
rotation6;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;13S29M;yes
rotation7;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;14S28M;yes
rotation8;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;15S27M;yes
rotation9;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;16S26M;yes
rotation10;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;17S25M;yes
rotation11;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;18S24M;yes
rotation12;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;19S23M;yes
rotation13;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;20S22M;yes
rotation14;>CR32127;NT_037436.4;NT_037436.4;13214168;13214147;20M22S;yes
rotation15;>CR32127;NT_037436.4;NT_037436.4;13214167;13214147;21M21S;yes
rotation16;>CR32127;NT_037436.4;NT_037436.4;13214166;13214147;22M20S;yes
rotation17;>CR32127;NT_037436.4;NT_037436.4;13214165;13214147;23M19S;yes
rotation18;>CR32127;NT_037436.4;NT_037436.4;13214164;13214147;24M18S;yes
rotation19;>CR32127;NT_037436.4;NT_037436.4;13214163;13214147;25M17S;yes
rotation20;>CR32127;NT_037436.4;NT_037436.4;13214162;13214147;26M16S;yes
rotation21;>CR32127;NT_037436.4;NT_037436.4;13214161;13214147;27M15S;yes
rotation22;>CR32127;NT_037436.4;NT_037436.4;13214160;13214147;28M14S;yes
rotation23;>CR32127;NT_037436.4;NT_037436.4;13214159;13214147;29M13S;yes
rotation24;>CR32127;NT_037436.4;NT_037436.4;13214158;13214147;30M12S;yes
rotation25;>CR32127;NT_037436.4;NT_037436.4;13214157;13214147;31M11S;yes
rotation26;>CR32127;NT_037436.4;NT_037436.4;13214156;13214147;32M10S;yes
rotation27;>CR32127;NT_037436.4;NT_037436.4;13214155;13214147;33M9S;yes
rotation28;>CR32127;NT_037436.4;NT_037436.4;13214154;13214147;34M8S;yes
rotation29;>CR32127;NT_037436.4;NT_037436.4;13214153;13214147;35M7S;yes
rotation30;>CR32127;NT_037436.4;NT_037436.4;13214152;13214147;36M6S;yes
rotation31;>CR32127;NT_037436.4;NT_037436.4;13214151;13214147;37M5S;yes
rotation32;>CR32127;NT_037436.4;NT_037436.4;13214150;13214147;38M4S;yes
rotation33;>CR32127;NT_037436.4;NT_037436.4;13214149;13214147;39M3S;yes
rotation34;>CR32127;NT_037436.4;NT_037436.4;13214148;13214147;40M2S;yes
rotation35;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;41M1S;yes
rotation36;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;1S41M;yes
rotation37;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;2S40M;yes
rotation38;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;3S39M;yes
rotation39;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;4S38M;yes
rotation40;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;5S37M;yes
rotation41;>CR32127;NT_037436.4;NT_037436.4;13214147;13214147;6S36M;yes
rotation7;>XBP1intronDrosophila;NT_033778.4;NT_033778.4;21144507;21144506;23M;yes
rotation8;>XBP1intronDrosophila;NT_033778.4;NT_033778.4;21144506;21144506;23M;yes
rotation9;>XBP1intronDrosophila;NT_033778.4;NT_033778.4;21144505;21144506;23M;yes
rotation10;>XBP1intronDrosophila;NT_033778.4;NT_033778.4;21144504;21144506;23M;yes
rotation11;>XBP1intronDrosophila;NT_033778.4;NT_033778.4;21144503;21144506;23M;yes
rotation12;>XBP1intronDrosophila;NT_033778.4;NT_033778.4;21144502;21144506;23M;yes
